PLAYER,AVG Salary,Type
"Kevin Durant","$12,075,325","UFA"
"Klay Thompson","$41,063,925","UFA"
"Tobias Harris","$37,980,720","UFA"
"Khris Middleton","$36,000,000","UFA"
"Jimmy Butler","$35,500,000","UFA"
"Kemba Walker","$35,197,650","UFA"
"Kawhi Leonard","$35,197,650","UFA"
"Kyrie Irving","$34,379,100","UFA"
"Kristaps Porzingis","$34,122,650","RFA"
"D'Angelo Russell","$31,650,600","RFA"
"Al Horford","$29,331,375","UFA"
"Nikola Vucevic","$27,250,000","UFA"
"Harrison Barnes","$25,000,000","UFA"
"Malcolm Brogdon","$21,250,000","RFA"
"Julius Randle","$21,250,000","UFA"
"Terry Rozier","$20,700,000","RFA"
"Bojan Bogdanovic","$18,900,000","UFA"
"Ricky Rubio","$18,275,000","UFA"
"Rudy Gay","$17,000,000","UFA"
"Jonas Valanciunas","$16,000,000","UFA"
"Kelly Oubre Jr.","$15,000,000","RFA"
"Marcus Morris Sr.","$15,000,000","UFA"
"Bobby Portis","$15,000,000","UFA"
"Thaddeus Young","$15,000,000","UFA"
"Delon Wright","$14,545,000","RFA"
"Terrence Ross","$14,025,000","UFA"
"Patrick Beverley","$13,500,000","UFA"
"Dewayne Dedmon","$13,333,333","UFA"
"J.J. Redick","$13,333,333","UFA"
"Brook Lopez","$13,250,000","UFA"
"Trevor Ariza","$13,000,000","UFA"
"Cory Joseph","$12,500,000","UFA"
"Jeremy Lamb","$12,400,000","UFA"
"Tomas Satoransky","$10,500,000","RFA"
"Nene Hilario","$10,000,000","UFA"
"Taj Gibson","$10,000,000","UFA"
"DeAndre Jordan","$10,000,000","UFA"
"Al-Farouq Aminu","$9,990,179","UFA"
"George Hill","$9,720,900","UFA"
"Maxi Kleber","$9,590,602","RFA"
"Tyus Jones","$8,900,000","RFA"
"Kentavious Caldwell-Pope","$8,815,100","UFA"
"Seth Curry","$8,291,514","UFA"
"Elfrid Payton","$8,000,000","UFA"
"Wayne Ellington","$8,000,000","UFA"
"Derrick Rose","$8,000,000","UFA"
"Darius Miller","$7,500,000","UFA"
"Ivica Zubac","$7,125,000","RFA"
"DeMarre Carroll","$7,000,000","UFA"
