PLAYER,PLAYER_link,AVG Salary,Type
"Kawhi Leonard","https://www.spotrac.com/redirect/player/8066/","$44,066,288","UFA"
"John Collins","https://www.spotrac.com/redirect/player/23614/","$30,000,000","UFA"
"Chris Paul","https://www.spotrac.com/redirect/player/2609/","$28,333,334","UFA"
"Jarrett Allen","https://www.spotrac.com/redirect/player/23617/","$28,333,333","UFA"
"Duncan Robinson","https://www.spotrac.com/redirect/player/27658/","$25,000,000","RFA"
"Norman Powell","https://www.spotrac.com/redirect/player/17874/","$22,680,000","UFA"
"Kyle Lowry","https://www.spotrac.com/redirect/player/2536/","$20,000,000","RFA"
"DeMar DeRozan","https://www.spotrac.com/redirect/player/6327/","$20,000,000","RFA"
"Lonzo Ball","https://www.spotrac.com/redirect/player/23597/","$18,750,000","UFA"
"Tim Hardaway Jr.","https://www.spotrac.com/redirect/player/13337/","$18,250,000","UFA"
"Evan Fournier","https://www.spotrac.com/redirect/player/10845/","$18,000,000","RFA"
"Mike Conley","https://www.spotrac.com/redirect/player/2532/","$18,000,000","UFA"
"Lauri Markkanen","https://www.spotrac.com/redirect/player/23602/","$18,000,000","UFA"
"Spencer Dinwiddie","https://www.spotrac.com/redirect/player/15390/","$17,280,000","RFA"
"Gary Trent Jr.","https://www.spotrac.com/redirect/player/27003/","$16,867,727","RFA"
"Devonte' Graham","https://www.spotrac.com/redirect/player/27000/","$14,520,730","UFA"
"Richaun Holmes","https://www.spotrac.com/redirect/player/17865/","$14,000,000","UFA"
"Derrick Rose","https://www.spotrac.com/redirect/player/6095/","$12,640,000","RFA"
"Doug McDermott","https://www.spotrac.com/redirect/player/15363/","$12,500,000","UFA"
"Josh Hart","https://www.spotrac.com/redirect/player/23625/","$12,398,374","UFA"
"Kelly Olynyk","https://www.spotrac.com/redirect/player/13326/","$11,825,000","RFA"
"Alex Caruso","https://www.spotrac.com/redirect/player/21076/","$11,630,640","UFA"
"Daniel Theis","https://www.spotrac.com/redirect/player/23828/","$10,799,880","UFA"
"T.J. McConnell","https://www.spotrac.com/redirect/player/18252/","$10,260,000","RFA"
"Talen Horton-Tucker","https://www.spotrac.com/redirect/player/31605/","$10,012,800","UFA"
"Alec Burks","https://www.spotrac.com/redirect/player/8063/","$10,012,800","UFA"
"Reggie Bullock","https://www.spotrac.com/redirect/player/13338/","$10,000,000","UFA"
"Nerlens Noel","https://www.spotrac.com/redirect/player/13319/","$9,250,000","UFA"
"Kelly Oubre Jr.","https://www.spotrac.com/redirect/player/17843/","$9,240,000","UFA"
"Zach Collins","https://www.spotrac.com/redirect/player/23605/","$8,947,246","UFA"
"Reggie Jackson","https://www.spotrac.com/redirect/player/8075/","$8,901,378","UFA"
"Khem Birch","https://www.spotrac.com/redirect/player/15786/","$8,400,000","UFA"
"Danny Green","https://www.spotrac.com/redirect/player/6277/","$8,200,000","UFA"
"Cameron Payne","https://www.spotrac.com/redirect/player/17842/","$7,350,000","UFA"
"Rudy Gay","https://www.spotrac.com/redirect/player/2534/","$7,175,000","UFA"
"Kemba Walker","https://www.spotrac.com/redirect/player/8059/","$6,667,500","UFA"
"JaMychal Green","https://www.spotrac.com/redirect/player/11666/","$6,333,333","UFA"
"Garrett Temple","https://www.spotrac.com/redirect/player/6492/","$6,184,500","UFA"
"David Nwaba","https://www.spotrac.com/redirect/player/21577/","$6,037,250","UFA"
"P.J. Tucker","https://www.spotrac.com/redirect/player/11059/","$5,890,000","UFA"
"Jarred Vanderbilt","https://www.spotrac.com/redirect/player/27007/","$5,200,000","RFA"
"Patrick Mills","https://www.spotrac.com/redirect/player/6322/","$5,155,500","UFA"
"Hamidou Diallo","https://www.spotrac.com/redirect/player/27011/","$5,125,000","UFA"
"Kendrick Nunn","https://www.spotrac.com/redirect/player/28041/","$5,032,750","UFA"
"Taj Gibson","https://www.spotrac.com/redirect/player/6278/","$5,032,500","UFA"
"Cory Joseph","https://www.spotrac.com/redirect/player/8080/","$5,000,000","UFA"
"Torrey Craig","https://www.spotrac.com/redirect/player/24230/","$5,000,000","UFA"
"Ishmael Smith","https://www.spotrac.com/redirect/player/7116/","$5,000,000","UFA"
"Jeff Green","https://www.spotrac.com/redirect/player/2720/","$5,000,000","UFA"
"Maurice Harkless","https://www.spotrac.com/redirect/player/10823/","$5,000,000","UFA"
"Bobby Portis","https://www.spotrac.com/redirect/player/17850/","$4,736,102","RFA"
"Dante Exum","https://www.spotrac.com/redirect/player/15357/","$4,612,500","UFA"
"Justise Winslow","https://www.spotrac.com/redirect/player/17838/","$4,500,000","UFA"
"George Hill","https://www.spotrac.com/redirect/player/6154/","$4,500,000","UFA"
"Terence Davis","https://www.spotrac.com/redirect/player/32059/","$4,500,000","UFA"
"Didi Louzada","https://www.spotrac.com/redirect/player/31594/","$4,456,290","UFA"
"Alex Len","https://www.spotrac.com/redirect/player/13318/","$4,374,000","RFA"
"Willy Hernangomez","https://www.spotrac.com/redirect/player/17863/","$4,000,000","UFA"
"Mike Muscala","https://www.spotrac.com/redirect/player/13357/","$4,000,000","UFA"
"Boban Marjanovic","https://www.spotrac.com/redirect/player/17984/","$4,000,000","RFA"
"Georges Niang","https://www.spotrac.com/redirect/player/20256/","$4,000,000","UFA"
"Nicolas Batum","https://www.spotrac.com/redirect/player/6149/","$3,825,300","UFA"
"Jordan McLaughlin","https://www.spotrac.com/redirect/player/27975/","$3,500,000","UFA"
"Frank Jackson","https://www.spotrac.com/redirect/player/23626/","$3,500,000","UFA"
"Sterling Brown","https://www.spotrac.com/redirect/player/23647/","$3,382,500","UFA"
"Dennis Schröder","https://www.spotrac.com/redirect/player/13330/","$3,249,280","UFA"
"Saben Lee","https://www.spotrac.com/redirect/player/70680/","$3,075,000","RFA"
"Trey Lyles","https://www.spotrac.com/redirect/player/17840/","$3,000,000","UFA"
"JaVale McGee","https://www.spotrac.com/redirect/player/6159/","$2,700,000","UFA"
"Robin Lopez","https://www.spotrac.com/redirect/player/6147/","$2,641,691","UFA"
"Louis Williams","https://www.spotrac.com/redirect/player/2657/","$2,641,691","UFA"
"Bruce Brown Jr.","https://www.spotrac.com/redirect/player/27008/","$2,641,691","UFA"
"Bryn Forbes","https://www.spotrac.com/redirect/player/20796/","$2,641,691","UFA"
"Abdel Nader","https://www.spotrac.com/redirect/player/20264/","$2,641,691","UFA"
"Denzel Valentine","https://www.spotrac.com/redirect/player/20219/","$2,641,691","UFA"
"Gorgui Dieng","https://www.spotrac.com/redirect/player/13334/","$2,641,691","UFA"
"Frank Ntilikina","https://www.spotrac.com/redirect/player/23603/","$2,641,691","UFA"
"Tony Bradley","https://www.spotrac.com/redirect/player/23623/","$2,641,691","UFA"
"Keita Bates-Diop","https://www.spotrac.com/redirect/player/27014/","$2,641,691","UFA"
"Alize Johnson","https://www.spotrac.com/redirect/player/27016/","$2,641,691","UFA"
"Sviatoslav Mykhailiuk","https://www.spotrac.com/redirect/player/27013/","$2,641,691","UFA"
"Moritz Wagner","https://www.spotrac.com/redirect/player/26991/","$2,641,691","UFA"
"Thanasis Antetokounmpo","https://www.spotrac.com/redirect/player/15403/","$2,641,691","UFA"
"Javonte Green","https://www.spotrac.com/redirect/player/32409/","$2,641,691","UFA"
"Gabe Vincent","https://www.spotrac.com/redirect/player/28087/","$2,641,691","UFA"
"Max Strus","https://www.spotrac.com/redirect/player/32411/","$2,562,500","UFA"
"Omer Yurtseven","https://www.spotrac.com/redirect/player/70706/","$2,443,581","UFA"
"Will Barton","https://www.spotrac.com/redirect/player/10865/","$2,401,537","UFA"
"Avery Bradley","https://www.spotrac.com/redirect/player/6901/","$2,401,537","UFA"
"Patrick Patterson","https://www.spotrac.com/redirect/player/6896/","$2,401,537","UFA"
"Paul Millsap","https://www.spotrac.com/redirect/player/2754/","$2,401,537","UFA"
"E'Twaun Moore","https://www.spotrac.com/redirect/player/8107/","$2,389,641","UFA"
"DeAndre Jordan","https://www.spotrac.com/redirect/player/6117/","$2,389,641","UFA"
"LaMarcus Aldridge","https://www.spotrac.com/redirect/player/2672/","$2,389,641","UFA"
"Rajon Rondo","https://www.spotrac.com/redirect/player/2222/","$2,389,641","UFA"
"Udonis Haslem","https://www.spotrac.com/redirect/player/2549/","$2,389,641","UFA"
"Enes Freedom","https://www.spotrac.com/redirect/player/8053/","$2,389,641","UFA"
"Blake Griffin","https://www.spotrac.com/redirect/player/6501/","$2,389,641","UFA"
"Trevor Ariza","https://www.spotrac.com/redirect/player/2513/","$2,239,544","UFA"
"Wayne Ellington","https://www.spotrac.com/redirect/player/6302/","$2,239,544","UFA"
"Markieff Morris","https://www.spotrac.com/redirect/player/8064/","$2,239,544","UFA"
"Dwight Howard","https://www.spotrac.com/redirect/player/2640/","$2,160,000","RFA"
"Carmelo Anthony","https://www.spotrac.com/redirect/player/2283/","$2,089,448","UFA"
"James Johnson","https://www.spotrac.com/redirect/player/6279/","$2,089,448","UFA"
"Jock Landale","https://www.spotrac.com/redirect/player/74215/","$2,089,448","UFA"
"Austin Rivers","https://www.spotrac.com/redirect/player/10818/","$2,089,448","UFA"
"Kent Bazemore","https://www.spotrac.com/redirect/player/11079/","$2,089,448","UFA"
"Hassan Whiteside","https://www.spotrac.com/redirect/player/6915/","$2,080,000","UFA"
"Andre Drummond","https://www.spotrac.com/redirect/player/10817/","$2,066,635","UFA"
"Tony Snell","https://www.spotrac.com/redirect/player/13333/","$1,939,350","UFA"
"Victor Oladipo","https://www.spotrac.com/redirect/player/13315/","$1,939,350","UFA"
"Otto Porter Jr.","https://www.spotrac.com/redirect/player/13316/","$1,921,578","RFA"
"Ben McLemore","https://www.spotrac.com/redirect/player/13320/","$1,912,787","UFA"
"Dewayne Dedmon","https://www.spotrac.com/redirect/player/13536/","$1,912,787","UFA"
"Solomon Hill","https://www.spotrac.com/redirect/player/13336/","$1,803,969","RFA"
"Cody Zeller","https://www.spotrac.com/redirect/player/13317/","$1,803,969","UFA"
"Langston Galloway","https://www.spotrac.com/redirect/player/15824/","$1,803,969","UFA"
"Elfrid Payton","https://www.spotrac.com/redirect/player/15362/","$1,803,969","UFA"
"Rodney Hood","https://www.spotrac.com/redirect/player/15375/","$1,803,969","UFA"
"Jahlil Okafor","https://www.spotrac.com/redirect/player/17831/","$1,789,256","UFA"
"Stanley Johnson","https://www.spotrac.com/redirect/player/17836/","$1,789,256","UFA"
"Frank Kaminsky","https://www.spotrac.com/redirect/player/17837/","$1,789,256","UFA"
"Raul Neto","https://www.spotrac.com/redirect/player/13360/","$1,789,256","UFA"
"Nemanja Bjelica","https://www.spotrac.com/redirect/player/6917/","$1,789,256","UFA"
"Timothe Luwawu-Cabarrot","https://www.spotrac.com/redirect/player/20229/","$1,789,256","UFA"
"DeAndre' Bembry","https://www.spotrac.com/redirect/player/20226/","$1,789,256","UFA"
"Luke Kornet","https://www.spotrac.com/redirect/player/23670/","$1,789,256","UFA"
"Ryan Arcidiacono","https://www.spotrac.com/redirect/player/20275/","$1,789,256","UFA"
"Shaquille Harrison","https://www.spotrac.com/redirect/player/21066/","$1,789,256","UFA"
"DJ Wilson","https://www.spotrac.com/redirect/player/23612/","$1,789,256","UFA"
"Jordan Bell","https://www.spotrac.com/redirect/player/23633/","$1,789,256","UFA"
"Chasson Randle","https://www.spotrac.com/redirect/player/20940/","$1,742,428","RFA"
"Harry Giles","https://www.spotrac.com/redirect/player/23615/","$1,742,428","RFA"
"Dennis Smith Jr.","https://www.spotrac.com/redirect/player/23604/","$1,729,217","UFA"
"Dwayne Bacon","https://www.spotrac.com/redirect/player/23640/","$1,729,217","UFA"
"Sam Dekker","https://www.spotrac.com/redirect/player/17846/","$1,714,613","RFA"
"Semi Ojeleye","https://www.spotrac.com/redirect/player/23632/","$1,710,908","RFA"
"Malik Monk","https://www.spotrac.com/redirect/player/23606/","$1,669,178","UFA"
"Theo Pinson","https://www.spotrac.com/redirect/player/27827/","$1,669,178","UFA"
"Isaac Bonga","https://www.spotrac.com/redirect/player/27005/","$1,669,178","UFA"
"DaQuan Jeffries","https://www.spotrac.com/redirect/player/32680/","$1,669,178","UFA"
"Deividas Sirvydis","https://www.spotrac.com/redirect/player/31596/","$1,669,178","UFA"
"Garrison Mathews","https://www.spotrac.com/redirect/player/32044/","$1,669,178","UFA"
"Kyle Guy","https://www.spotrac.com/redirect/player/31614/","$1,669,178","UFA"
"Jared Harper","https://www.spotrac.com/redirect/player/32403/","$1,669,178","UFA"
"Chris Silva","https://www.spotrac.com/redirect/player/32319/","$1,669,178","UFA"
"Juwan Morgan","https://www.spotrac.com/redirect/player/32678/","$1,669,178","UFA"
"Tyler Cook","https://www.spotrac.com/redirect/player/32778/","$1,669,178","RFA"
"Tremont Waters","https://www.spotrac.com/redirect/player/31610/","$1,620,852","UFA"
"Tacko Fall","https://www.spotrac.com/redirect/player/31972/","$1,500,000","UFA"
"Jarrell Brantley","https://www.spotrac.com/redirect/player/31609/","$1,489,065","UFA"
"Cassius Stanley","https://www.spotrac.com/redirect/player/70696/","$1,489,065","UFA"
"Reggie Perry","https://www.spotrac.com/redirect/player/70699/","$1,489,065","RFA"
"Nate Hinton","https://www.spotrac.com/redirect/player/70711/","$1,489,065","RFA"
"Armoni Brooks","https://www.spotrac.com/redirect/player/32812/","$1,244,388","UFA"
"Brodric Thomas","https://www.spotrac.com/redirect/player/70795/","-","RFA"
"Amir Coffey","https://www.spotrac.com/redirect/player/32198/","-","RFA"
"Keljin Blevins","https://www.spotrac.com/redirect/player/32992/","-","UFA"
"Justin James","https://www.spotrac.com/redirect/player/31599/","-","UFA"
"Paul Watson","https://www.spotrac.com/redirect/player/28089/","-","UFA"
"Caleb Martin","https://www.spotrac.com/redirect/player/32682/","-","UFA"
"Chandler Hutchison","https://www.spotrac.com/redirect/player/26988/","-","UFA"
"Anthony Lamb","https://www.spotrac.com/redirect/player/70763/","-","RFA"
"Grant Riller","https://www.spotrac.com/redirect/player/70698/","-","UFA"
"Cassius Winston","https://www.spotrac.com/redirect/player/70695/","-","RFA"
"Josh Hall","https://www.spotrac.com/redirect/player/70707/","-","RFA"
"Chris Chiozza","https://www.spotrac.com/redirect/player/28033/","-","UFA"
"Devon Dotson","https://www.spotrac.com/redirect/player/70709/","-","RFA"
